row,hour,month,reward,served_ratio,total_demand,avg_util,n_trip,n_danger,n_healthy,n_disc,power_shed,r_serve,r_overload,r_danger,r_cascade,r_health,r_shed,r_topology
1,1,1,3.65057,0.952677,1587.06,0.158069,0,0,31,0,75.1047,3.81071,-0,-0,-0,0.0291536,-0.189293,-0
2,2,1,3.64963,0.952677,1581.02,0.159301,0,0,30,0,74.8192,3.81071,-0,-0,-0,0.0282132,-0.189294,-0
3,3,1,3.65061,0.952682,1584.16,0.157327,0,0,31,0,74.9585,3.81073,-0,-0,-0,0.0291536,-0.18927,-0
4,4,1,3.64965,0.95268,1564.16,0.155398,0,0,30,0,74.0165,3.81072,-0,-0,-0,0.0282132,-0.189281,-0
5,5,1,3.65051,0.952669,1640.56,0.163718,0,0,31,0,77.6493,3.81068,-0,-0,-0,0.0291536,-0.189324,-0
6,6,1,3.60271,0.952686,2290.26,0.243198,3,1,83,0,108.361,3.81074,-0.0980758,-5.70745e-06,-0.000530655,0.0780564,-0.187476,-0
7,7,1,3.62989,0.952693,2661.68,0.278951,3,1,120,0,125.916,3.81077,-0.105728,-2.96702e-05,-0.000530655,0.112853,-0.187448,-0
8,8,1,3.59229,0.952681,2770.62,0.286082,4,3,114,0,131.104,3.81072,-0.137664,-0.000132336,-0.000943387,0.10721,-0.186903,-0
9,9,1,3.61722,0.952696,3122.02,0.311825,4,2,146,0,147.684,3.81078,-0.143068,-1.81723e-05,-0.000943387,0.137304,-0.186843,-0
10,10,1,3.63444,0.952692,2879.52,0.290844,3,3,120,0,136.224,3.81077,-0.101104,-9.3747e-05,-0.000530655,0.112853,-0.187452,-0
11,11,1,3.62544,0.95269,2759.94,0.279022,3,2,112,0,130.574,3.81076,-0.102634,-1.92241e-05,-0.000530655,0.105329,-0.187462,-0
12,12,1,3.65661,0.95269,2791.74,0.281575,2,3,109,0,132.078,3.81076,-0.0681704,-0.000192954,-0.000235847,0.102508,-0.188054,-0
13,13,1,3.60001,0.952686,2837.2,0.286932,4,1,118,0,134.24,3.81074,-0.133845,-3.21319e-05,-0.000943387,0.110972,-0.186884,-0
14,14,1,3.60036,0.952683,2804.12,0.280254,4,1,117,0,132.682,3.81073,-0.132562,-3.00462e-06,-0.000943387,0.110031,-0.186893,-0
15,15,1,3.65952,0.952688,2816.06,0.280256,2,2,115,0,133.234,3.81075,-0.0709276,-0.00015897,-0.000235847,0.10815,-0.188062,-0
16,16,1,3.5992,0.952686,2794.54,0.284216,4,1,116,0,132.222,3.81074,-0.132802,-7.66238e-06,-0.000943387,0.109091,-0.186884,-0
